1278,25147,北京市,北京,北京,BeiJing,BJ
72314,25147,北京市,北京,北京崇文区,BeiJingChongWenQu,BJCWQ
72313,25147,北京市,北京,北京朝阳区,BeiJingChaoYangQu,BJCYQ
72315,25147,北京市,北京,北京东城区,BeiJingDongChengQu,BJDCQ
72316,25147,北京市,北京,北京丰台区,BeiJingFengTaiQu,BJFTQ
72317,25147,北京市,北京,北京海淀区,BeiJingHaiDianQu,BJHDQ
72318,25147,北京市,北京,北京石景山区,BeiJingShiJingShanQu,BJSJSQ
72319,25147,北京市,北京,北京西城区,BeiJingXiChengQu,BJXCQ
72320,25147,北京市,北京,北京宣武区,BeiJingXuanWuQu,BJXWQ
8189,25147,北京市,北京,昌平,ChangPing,CP
8196,25147,北京市,北京,大兴,DaXing,DX
8195,25147,北京市,北京,房山,FangShan,FS
8190,25147,北京市,北京,怀柔,HuaiRou,HR
8194,25147,北京市,北京,门头沟,MenTouGou,MTG
8191,25147,北京市,北京,密云,MiYun,MY
8192,25147,北京市,北京,平谷,PingGu,PG
8193,25147,北京市,北京,顺义,ShunYi,SY
8197,25147,北京市,北京,通州区,TongZhouQu,TZQ
8188,25147,北京市,北京,延庆,YanQing,YQ
1233,25148,上海市,上海,上海,ShangHai,SH
9847,25148,上海市,上海,宝山,BaoShan,BS
9849,25148,上海市,上海,崇明,ChongMing,CM
9871,25148,上海市,上海,奉贤,FengXian,FX
9848,25148,上海市,上海,嘉定,JiaDing,JD
9868,25148,上海市,上海,金山,JinShan,JS
9846,25148,上海市,上海,闵行,MinXing,MX
9851,25148,上海市,上海,浦东,PuDong,PD
9869,25148,上海市,上海,青浦,QingPu,QP
72143,25148,上海市,上海,上海长宁区,ShangHaiChangNingQu,SHCNQ
72144,25148,上海市,上海,上海虹口区,ShangHaiHongKouQu,SHHKQ
72145,25148,上海市,上海,上海黄浦区,ShangHaiHuangPuQu,SHHPQ
72146,25148,上海市,上海,上海静安区,ShangHaiJingAnQu,SHJAQ
72148,25148,上海市,上海,上海普陀区,ShangHaiPuTuoQu,SHPTQ
72149,25148,上海市,上海,上海徐汇区,ShangHaiXuHuiQu,SHXHQ
72150,25148,上海市,上海,上海杨浦区,ShangHaiYangPuQu,SHYPQ
9870,25148,上海市,上海,松江,SongJiang,SJ
1279,25149,天津市,天津,天津,TianJin,TJ
9091,25149,天津市,天津,宝坻,BaoChi,BC
8523,25149,天津市,天津,北辰,BeiChenQu,BCQ
8373,25149,天津市,天津,大港,DaGang,DG
9092,25149,天津市,天津,东丽,DongLiQu,DLQ
8330,25149,天津市,天津,汉沽,HanGuQu,HGQ
8359,25149,天津市,天津,静海,JingHai,JH
8362,25149,天津市,天津,津南,JinNanQu,JNQ
9060,25149,天津市,天津,蓟州区,JiXZhouQu,JZQ
8329,25149,天津市,天津,宁河,NingHe,NH
8158,25149,天津市,天津,塘沽,TangGu,TG
72190,25149,天津市,天津,天津河北区,TianJinHeBeiQu,TJHBQ
72191,25149,天津市,天津,天津河东区,TianJinHeDongQu,TJHDQ
72189,25149,天津市,天津,天津和平区,TianJinHePingQu,TJHPQ
